user_id,edits,labels,cities,sources,tags_changed,from_empty,who,role
7605ed46-a85a-4770-8387-0237af2ba0be,2,1,1,Explore,2,1,,
9f5d4399-fff7-48a2-8d65-14d94b3da4ef,2,2,2,Explore,1,1,,
92a8321b-f269-4ee0-9193-929ca58ece61,2,1,1,Explore,1,1,,
31773113-4090-42b6-860f-8066cffee032,2,1,1,Explore,1,1,,
c0c06b1b-e400-46e2-8c67-c5ccf9ed1b36,2,1,1,Explore,1,1,,
e90cad01-3a21-4176-9064-cf85b417d650,2,2,1,ExpertValidate,1,1,Aldo,Administrator
ff79dc70-fd35-4520-81ca-38736a2953ba,2,1,1,Explore,1,1,,
8780c4bd-0bef-4802-a16a-6afda05480a5,2,2,1,Explore,1,1,,
63fa7cea-6d9d-470a-8808-07d9a187bdb4,2,1,1,Explore,1,0,,
10d497b3-e8a2-4df8-95aa-0edcbdca97a5,2,1,1,Explore,1,1,,
5e575acf-9422-4eb9-9487-c18d6c800285,2,2,1,Explore,2,2,,
0bfcedd0-2d5b-454c-bc18-dd4457f2cd8f,1,1,1,Validate,0,0,,
140ef4fc-8571-41c9-9d02-5261be7874e5,1,1,1,Validate,0,0,,
0d2ff33e-32b0-4533-90cd-f79bd0880fe9,1,1,1,Validate,0,0,,
0bbceb33-b2ff-41a7-b3bf-48ea8aab52d3,1,1,1,Validate,0,0,,
091290d5-5063-41f8-9f22-ba309fdc04c6,1,1,1,Validate,1,0,,
071ac77f-68bc-4405-8328-2fbe59324851,1,1,1,Explore,1,1,,
27c9111a-7e14-4847-a3ab-50124fe0b7b0,1,1,1,Explore,0,0,,
2891c66d-dbe5-410a-b91d-95d83b80d56e,1,1,1,Validate,1,0,,
290264f4-4368-4898-b82a-5d630a69b1ba,1,1,1,Validate,1,0,,
0a17101d-1579-4da0-8180-ae60ca71360e,1,1,1,Validate,0,0,,
094ede8a-ce79-4221-829f-2dafaf8218f7,1,1,1,Validate,1,0,,
072cf340-1013-4d20-a8b1-f8c352c352e9,1,1,1,Validate,0,0,,
015f360a-ef08-450a-bc0d-9e0d913ce794,1,1,1,Validate,0,0,,
55fdd336-8d5e-41cd-a121-4447c7579188,1,1,1,Validate,0,0,,
5903400e-4068-40eb-9b65-4275472b098a,1,1,1,Explore,0,0,,
4ff8e9eb-e038-43e8-a3fa-b0f66b112c37,1,1,1,Validate,0,0,,
544810ce-a550-44a8-8d7e-ad0314fdaec3,1,1,1,ValidateMobile,0,0,,
46d95147-b43e-4026-b0e5-39a2758327ed,1,1,1,Explore,1,1,,
4be17340-c072-476f-9bc2-8ba21b3f4154,1,1,1,Explore,1,1,,
4de3bf1c-c764-4cf7-a210-ef6a53688bc6,1,1,1,Validate,0,0,,
4edb0045-edf5-4f60-b7e1-a1c1e3deb2b9,1,1,1,Explore,0,0,,
43060730-d7b1-45a4-aa9b-0189fec013a6,1,1,1,Explore,1,1,,
42cd2e88-79a2-44b2-b205-f9279270f083,1,1,1,Explore,0,0,,
3f7a29a0-def3-4a9a-bbd0-e5eb2ab97e89,1,1,1,Explore,0,0,,
3bc8eb1e-ae55-4d3b-90f8-887ec8d051cb,1,1,1,Validate,0,0,,
308809d5-18f2-4d5f-a79e-88a7371d718a,1,1,1,Validate,0,0,,
29a3ee7b-b0f8-4815-b63c-026194f03394,1,1,1,Validate,1,0,,
30e4d6b9-d794-418c-b871-d71990eb4bbf,1,1,1,Explore,1,1,,
36167bc0-7e22-4eb1-9cdb-f7a3ade56dd0,1,1,1,Validate,1,0,,
1c757f59-d4dd-49c9-ae32-b4b2ab8b227c,1,1,1,Explore,1,1,,
1c7e11b6-f0ce-4df5-adc0-f23f97b61d73,1,1,1,Validate,0,0,,
24af54dc-436a-452a-ac0e-a757c5b096d6,1,1,1,Validate,0,0,,
285f313f-65c3-479b-bc1b-0d169f970ffb,1,1,1,Validate,0,0,,
881de379-982f-4687-98c9-d5dd8a4e9ecd,1,1,1,Explore,0,0,,
6fbafe8c-fe8e-47c1-9db9-4daeb3357122,1,1,1,Explore,1,1,,
72b349db-fde8-44d9-887b-496cbcaee883,1,1,1,Validate,0,0,,
73906a49-4b55-443c-92a7-97589d01dadd,1,1,1,Validate,0,0,,
982f8f17-2a2b-4d8b-a3e8-c4263e293109,1,1,1,Validate,0,0,,
847a9881-ab1a-41c2-9ccb-e3379d2d76ac,1,1,1,Validate,0,0,,
8197d603-104c-4ab9-bcd1-d4ed3909edcb,1,1,1,Validate,1,1,,
7ba9f801-c27b-4e30-b253-6c52e0ac5283,1,1,1,Explore,0,0,,
77e6f686-7951-44de-bd9b-6aca2bded4c0,1,1,1,Explore,0,0,,
6f53a1d2-b522-438e-922f-a8ff35cf3509,1,1,1,Validate,1,0,,
65f7fffc-b142-4397-b1b0-f655ed8717fd,1,1,1,Explore,1,1,,
659ab1d1-184f-4a50-9d0a-7cbdd3499464,1,1,1,Explore,1,1,krmansuria,Administrator
a7872cb2-0070-4518-8f1f-cbe04d249313,1,1,1,Validate,1,0,,
9948d381-c4b2-4fdb-949a-88a44daa89ea,1,1,1,Explore,1,1,,
9c627e91-81ff-4aab-aa63-2f38df296dcf,1,1,1,Explore,1,1,,
9db98e9c-f722-4166-bf81-547c8b61410c,1,1,1,Explore,1,1,,
98e6523c-41c2-4e89-888b-99422b98f345,1,1,1,Explore,1,1,,
89264258-932e-43dd-a340-e3ad427de6be,1,1,1,Explore,0,0,,
965d26d6-21ca-4e92-8dcf-f860ce873d1d,1,1,1,Explore,1,1,,
a81de8fb-1289-4fcc-baaf-8e3753302cab,1,1,1,Validate,1,0,,
b5e7bb0a-687a-4239-8137-92e55dc1954d,1,1,1,Validate,0,0,,
be318254-7f15-445b-8044-9b8cca45a24d,1,1,1,Validate,0,0,,
ad289b5e-8f58-4386-bbe8-ccc769dcfa9a,1,1,1,Validate,1,0,,
aa92cdc3-dfe1-4cbc-9ff5-4190f0037b55,1,1,1,Explore,0,0,,
b2454c49-bfc6-4c9f-a2bc-84b1fd597c7a,1,1,1,Explore,1,1,,
b289ff68-fd01-4b75-98fb-a08cb4588f20,1,1,1,Explore,0,0,,
b4699992-dbad-4895-98b8-344c1f7b4160,1,1,1,Validate,1,0,,
b0dec9da-1108-46cc-9100-c0adfe295a6d,1,1,1,Explore,1,1,,
c3e1cbd8-2b5b-4200-8252-0470148bc3bc,1,1,1,Validate,1,0,,
c077df5b-45aa-4e0d-b218-9bb7e8a2624c,1,1,1,Validate,0,0,,
c0142ab1-8e4d-4cc1-921b-5b65f3134f1a,1,1,1,Validate,1,0,,
bf799db4-c9e0-4a79-8dc0-5c8b565d2db3,1,1,1,Validate,1,0,,
be787406-fc8d-4529-b46d-7926b12bbafa,1,1,1,Explore,1,1,,
be98b98d-26c3-424f-9521-4229f9958cf9,1,1,1,ValidateMobile,0,0,,
d346ea76-1ed7-43a2-9a83-ef0adcd6318b,1,1,1,Validate,0,0,,
cf647da1-e88b-4a8d-98f9-90c3ce07b0ba,1,1,1,Validate,1,0,,
e9e91fd9-b001-4c40-93f7-ce38898ee4fc,1,1,1,Explore,1,1,,
d58006c8-4814-43a8-ad49-2c6d30dccfe4,1,1,1,Validate,0,0,,
d0357ea3-2714-45b5-8155-e199830d28f2,1,1,1,Explore,0,0,,
ee6d3cc6-9117-4596-98ed-fec07979daea,1,1,1,Validate,1,0,,
f708812e-d94f-47a6-8876-5d1d529848b7,1,1,1,Validate,1,0,,
effc30e3-eedc-4903-be46-2c05acdd92b6,1,1,1,Validate,1,0,,
f7a5bbfd-6ecc-458f-b0d4-6eae83b3f38e,1,1,1,Explore,0,0,,
f73cf46b-e187-4404-8360-1b7a4a94a312,1,1,1,Validate,1,0,,
