city,label_id,pano_id,pano_source,time_created,hf_split,hf_filename,pano_x,pano_y,pano_width,pano_height,heading,pitch,zoom,camera_heading,camera_pitch,camera_roll,canvas_x,canvas_y
seattle-wa,98992,F4PvXxVboP9JWBvffWm1ww,gsv,2020-06-08T17:47:00.1Z,train,gsv-seattle-98992-CurbRamp.png,11672,5487,16384.0,8192.0,344.6875,-35.0,1.0,269.881744,1.199448,,369,212
oradell-nj,3514,42H4piNL-nTIfHA-WjtpcA,gsv,2022-04-23T00:24:51.712Z,train,gsv-oradell-3514-CurbRamp.png,9398,4746,16384.0,8192.0,102.0,-16.0,1.0,108.897949,-0.912727,,588,246
cdmx,4038,_yEqONYxlqWgfynyFv9qDQ,gsv,2020-05-03T21:36:09.16Z,train,gsv-cdmx-4038-CurbRamp.png,10508,5161,16384.0,8192.0,276.642853,-17.95759,2.0,234.558075,-0.01001,,463,312
chicago-il,4456,vuIgQi9irtLN7wgtceb07g,gsv,2021-10-21T18:32:58.71Z,train,gsv-chicago-4456-CurbRamp.png,10075,4690,16384.0,8192.0,120.484375,-12.734375,3.0,88.181801,-0.564133,,587,252
chicago-il,28897,0GUznFGcut3t5bhjsC8SkA,gsv,2023-08-03T16:46:44.159Z,test,gsv-chicago-28897-CurbRamp.png,10804,5639,16384.0,8192.0,170.4375,-35.0,3.0,109.968201,0.33304,,295,213
pittsburgh-pa,8585,cNvpPGuS_XYBDqm58qyTzA,gsv,2021-04-08T21:19:40.295Z,train,gsv-pittsburgh-8585-CurbRamp.png,4917,3935,13312.0,6656.0,151.544647,-15.879464,2.0,195.692413,-1.25061,,325,247
cdmx,2446,f5g9XsosdM2ohnfuxX5JQQ,gsv,2020-05-02T20:59:18.471Z,train,gsv-cdmx-2446-CurbRamp.png,11752,5279,16384.0,8192.0,226.625,-19.875,1.0,129.338135,0.736679,,248,287
chicago-il,46796,Gg2RgT8QB2l5c6-cFb41Dg,gsv,2024-02-25T03:30:36.273Z,train,gsv-chicago-46796-CurbRamp.png,3103,4847,16384.0,8192.0,99.6875,-23.5,1.0,235.529495,-0.12206,,514,205
seattle-wa,152821,c1socKxYbkHtcTWRfkLLIg,gsv,2021-05-06T23:32:56.374Z,train,gsv-seattle-152821-CurbRamp.png,3636,4802,16384.0,8192.0,308.0,-35.0,1.0,47.789558,-0.031548,,358,112
columbus-oh,14847,-d0CbG05H-OzF8XoE4oHxQ,gsv,2020-05-26T23:47:11.333Z,train,gsv-columbus-14847-CurbRamp.png,14197,5593,16384.0,8192.0,281.0,-21.1875,1.0,147.387909,-2.328377,,351,315
spgg,8296,HzRv0zRK_ao1iw4wasPg6Q,gsv,2020-09-08T19:23:19.749Z,train,gsv-spgg-8296-CurbRamp.png,4553,5314,16384.0,8192.0,120.727676,-32.703125,2.0,201.844543,-2.654831,,373,165
seattle-wa,147235,ryO7Ux1kSuzGcSphrnNeYg,gsv,2021-04-19T20:16:05.615Z,train,gsv-seattle-147235-CurbRamp.png,12095,4081,13312.0,6656.0,32.25,-33.5,1.0,261.755676,2.60786,,463,161
chicago-il,13625,TT85jtP7qSxIYVTvB77Xow,gsv,2022-10-22T04:40:39.789Z,train,gsv-chicago-13625-CurbRamp.png,9939,4606,16384.0,8192.0,316.25,-14.6875,3.0,269.50412,0.11348,,149,154
columbus-oh,715,brBrQvIDmxSI2b_UuNz8iw,gsv,2019-12-01T14:38:30.66Z,train,gsv-columbus-715-CurbRamp.png,8510,4151,13312.0,6656.0,26.763393,-19.955357,2.0,350.93689,0.226738,,530,277
newberg-or,2266,d5Cqacefa0pQapPT5zTEeA,gsv,2019-03-09T13:39:50.42Z,train,gsv-newberg-2266-CurbRamp.png,8310,4369,13312.0,6656.0,74.616074,-35.0,1.0,359.430634,0.831856,,179,220
seattle-wa,252800,bRNLjx8IxKxnsGdVbDjiWw,gsv,2023-05-18T01:33:12.576Z,test,gsv-seattle-252800-CurbRamp.png,5186,4749,16384.0,8192.0,20.809393,-30.697416,1.0,89.055634,0.8301,,374,134
chicago-il,10176,9QtJWUWRvj4-FXM7-EssmA,gsv,2022-03-07T21:46:11.175Z,train,gsv-chicago-10176-CurbRamp.png,2990,4498,16384.0,8192.0,242.214279,-13.917411,2.0,359.313751,0.590591,,395,176
newberg-or,14820,J1IhB4qxDLDFQTG0bPXNuA,gsv,2019-10-22T00:13:43.536Z,train,gsv-newberg-14820-CurbRamp.png,4410,3991,13312.0,6656.0,26.34375,-22.28125,3.0,89.101822,1.440849,,409,129
newberg-or,4003,D2a38Otq14Zf3lJiDSXX7w,gsv,2019-03-28T18:39:45.527Z,train,gsv-newberg-4003-CurbRamp.png,880,3676,13312.0,6656.0,292.628113,-10.361608,3.0,88.477135,1.792969,,351,216
oradell-nj,13580,cbg-u3N8l1cqROvEEc0lbg,gsv,2023-07-12T16:40:32.142Z,train,gsv-oradell-13580-CurbRamp.png,1853,4435,16384.0,8192.0,65.247498,-18.875,1.0,192.639496,0.1713,,283,168
oradell-nj,6230,zRg8WWh34Gol7pcRR6MDMg,gsv,2022-06-11T12:53:11.484Z,train,gsv-oradell-6230-CurbRamp.png,10059,4653,16384.0,8192.0,327.4375,-25.125,1.0,269.028992,-0.792564,,247,161
seattle-wa,204360,gDJqrtS1SKSjj7i9JLJEMg,gsv,2022-04-28T20:30:06.45Z,train,gsv-seattle-204360-CurbRamp.png,14473,5090,16384.0,8192.0,287.551941,-31.078125,1.0,177.793961,1.715126,,538,198
columbus-oh,22922,Omsg3OklVYs6yg6BsPrSww,gsv,2021-01-18T19:03:52.568Z,train,gsv-columbus-22922-CurbRamp.png,10996,4755,13312.0,6656.0,111.629463,-31.209448,1.0,351.445099,-0.369942,,346,287
chicago-il,10089,r1vxp40tAgah_g5hC-j1EQ,gsv,2022-03-07T21:32:09.426Z,train,gsv-chicago-10089-CurbRamp.png,8837,4361,16384.0,8192.0,101.464287,-7.078125,3.0,89.068443,0.393349,,405,208
newberg-or,4764,0xoQP2NIBcffyNw0WDgAAA,gsv,2019-04-04T16:06:57.546Z,train,gsv-newberg-4764-CurbRamp.png,5374,3675,13312.0,6656.0,300.0,-4.484375,3.0,334.943359,0.634087,,367,365
seattle-wa,2790,KNAbXuDajY98pr5hQt4zJw,gsv,2019-04-16T03:57:54.82Z,test,gsv-seattle-2790-CurbRamp.png,14062,4632,16384.0,8192.0,221.033478,-12.868303,3.0,92.223373,-1.677773,,364,212
seattle-wa,158020,fHIroYZQkTATwFGFBAuAEA,gsv,2021-06-21T17:39:49.029Z,test,gsv-seattle-158020-CurbRamp.png,11367,5488,16384.0,8192.0,239.113846,-21.401785,2.0,187.710007,3.227242,,567,374
seattle-wa,96987,EKtrcsSmS5hti5UR2xNTSw,gsv,2020-06-04T04:42:38.884Z,train,gsv-seattle-96987-CurbRamp.png,5660,4759,16384.0,8192.0,273.75,0.0,1.0,328.107727,3.095444,,352,334
oradell-nj,9241,J5eDWl45Kp7xEqsI174vug,gsv,2022-08-05T23:28:39.473Z,train,gsv-oradell-9241-CurbRamp.png,4511,4774,16384.0,8192.0,34.46875,-30.3125,1.0,89.371132,0.417,,186,151
columbus-oh,27373,q9BT2K-1a8mHTOM17SbIBQ,gsv,2021-04-27T23:34:11.218Z,train,gsv-columbus-27373-CurbRamp.png,2499,4502,16384.0,8192.0,100.5625,-13.8125,1.0,261.514587,2.725334,,617,222
oradell-nj,7623,YfkwEpnJm4bSFg2z1cEPJw,gsv,2022-07-14T23:06:38.418Z,train,gsv-oradell-7623-CurbRamp.png,1364,4491,16384.0,8192.0,51.234375,-8.5625,3.0,200.223236,0.154602,,334,243
pittsburgh-pa,9125,9Rv0VBzlHemD3irATb89Vg,gsv,2021-04-09T18:58:59.894Z,train,gsv-pittsburgh-9125-CurbRamp.png,5626,4762,16384.0,8192.0,38.25,-27.125,1.0,82.476074,-0.446648,,283,162
seattle-wa,42448,dro1gx3y8F4piWKTXsajQg,gsv,2019-05-02T11:18:57.226Z,train,gsv-seattle-42448-CurbRamp.png,3975,4356,16384.0,8192.0,346.354919,-2.321429,2.0,89.792084,0.115982,,497,284
seattle-wa,51361,4OwgciHozXxKp1z-EF2xyQ,gsv,2019-05-04T05:38:41.57Z,train,gsv-seattle-51361-CurbRamp.png,8015,4723,16384.0,8192.0,203.752228,-11.435267,3.0,205.713791,3.01754,,312,300
chicago-il,9555,HMnQiIZ1i9dExM3uotMS2Q,gsv,2021-11-12T21:51:20.213Z,train,gsv-chicago-9555-CurbRamp.png,4892,3809,13312.0,6656.0,298.366058,-13.660714,2.0,357.72403,-0.337105,,505,235
seattle-wa,232974,Ys8Vye8qdcOKT_-LIIC_9g,gsv,2023-02-03T22:02:40.29Z,train,gsv-seattle-232974-CurbRamp.png,10561,4689,16384.0,8192.0,297.75,-35.0,1.0,271.251221,-1.04898,,539,104
chicago-il,28881,hJrSG1Ywl3qWYUPsjUCdGQ,gsv,2023-08-03T16:39:01.258Z,train,gsv-chicago-28881-CurbRamp.png,14285,4731,16384.0,8192.0,129.276779,-19.901785,2.0,357.988098,-0.06645,,392,165
spgg,13980,SIVYXjxWchy7hTeo39VQJQ,gsv,2020-10-01T22:55:21.234Z,train,gsv-spgg-13980-CurbRamp.png,4851,5086,16384.0,8192.0,16.8125,-24.3125,1.0,111.73497,-1.460495,,491,233
chicago-il,9574,CyrZ18tuXmiPlzj-qj5MOw,gsv,2021-11-15T21:25:49.495Z,train,gsv-chicago-9574-CurbRamp.png,9459,4732,16384.0,8192.0,114.651787,-12.633928,2.0,87.384972,2.270554,,367,257
oradell-nj,2788,0iBvUG7wiKshUYd7YD0t5w,gsv,2022-04-22T23:55:50.259Z,train,gsv-oradell-2788-CurbRamp.png,3957,4628,16384.0,8192.0,287.5,-17.178572,2.0,6.686789,1.107376,,185,175
chicago-il,10547,bnv8vckNmiHOJC6mxBA9nA,gsv,2022-04-30T16:27:27.596Z,train,gsv-chicago-10547-CurbRamp.png,837,4675,16384.0,8192.0,163.0,-18.0,3.0,323.800201,-0.746101,,340,105
chicago-il,3304,TznN2nhT-0ZcP8XP18QcvA,gsv,2021-10-20T01:02:27.494Z,train,gsv-chicago-3304-CurbRamp.png,5932,4550,16384.0,8192.0,222.125,-14.5625,1.0,271.142212,-1.094208,,356,211
cdmx,5580,5Ny1hK8luph2JNwqXyv03w,gsv,2020-06-10T01:22:52.912Z,train,gsv-cdmx-5580-CurbRamp.png,12264,5730,16384.0,8192.0,322.75,-21.5,1.0,207.250916,-0.956184,,216,353
seattle-wa,193885,UXo-8WMGQOhdndDREngNRA,gsv,2022-01-27T07:08:06.092Z,test,gsv-seattle-193885-CurbRamp.png,12031,4129,13312.0,6656.0,59.017857,-21.875,2.0,267.277344,-0.881516,,285,239
pittsburgh-pa,15760,yQhczdQ3bC3KBBRBWMw6oA,gsv,2022-02-04T20:50:20.057Z,train,gsv-pittsburgh-15760-CurbRamp.png,2348,4539,16384.0,8192.0,75.625,-13.5625,1.0,208.672668,-0.67939,,389,216
chicago-il,3149,ymqTQx1CO4U-1jBnnY5fnw,gsv,2021-10-20T00:33:05.256Z,train,gsv-chicago-3149-CurbRamp.png,9038,4632,16384.0,8192.0,109.6875,-8.392858,2.0,88.029716,-1.052971,,322,283
seattle-wa,237943,8EFgHWzP3QmtTDelEr-xwQ,gsv,2023-03-27T15:34:10.37Z,train,gsv-seattle-237943-CurbRamp.png,11860,4228,13312.0,6656.0,258.875,-35.0,1.0,118.489182,0.58537,,362,172
columbus-oh,33046,j9sLkYgfiayFrH9LTxm8Ew,gsv,2022-03-10T22:40:07.213Z,train,gsv-columbus-33046-CurbRamp.png,3993,4912,16384.0,8192.0,78.305,-23.5625,1.0,183.326813,0.26812,,438,207
seattle-wa,145977,ySyM3ha6fw_KI5TnE5Wu3A,gsv,2021-04-09T23:46:06.375Z,train,gsv-seattle-145977-CurbRamp.png,14756,4648,16384.0,8192.0,324.125,-11.1875,2.0,181.02478,3.316818,,374,252
oradell-nj,8975,xbFAwegHFp2Jra3w0EK8fg,gsv,2022-07-28T18:04:28.229Z,train,gsv-oradell-8975-CurbRamp.png,6256,4516,16384.0,8192.0,319.466522,-2.625,2.0,19.055498,-1.146133,,580,329
chicago-il,6695,4gKmNesYN0kpOTFS2snGFg,gsv,2021-10-22T21:40:47.328Z,train,gsv-chicago-6695-CurbRamp.png,14663,4566,16384.0,8192.0,327.339294,-6.419643,2.0,178.823029,1.439377,,281,290
chicago-il,10605,MY3JFOFlyH0DY2ZsFOHHDg,gsv,2022-04-30T18:18:32.628Z,train,gsv-chicago-10605-CurbRamp.png,2113,3805,13312.0,6656.0,330.354919,-13.162947,3.0,89.247467,-2.145065,,261,234
columbus-oh,14387,cTOAYjfYFd0FFQ9kCqj7Kg,gsv,2020-05-26T23:13:53.306Z,train,gsv-columbus-14387-CurbRamp.png,10059,5427,16384.0,8192.0,137.736374,-32.29018,1.0,93.815674,-0.046181,,344,221
seattle-wa,241889,vdgMSzHpr75Z59n4oyE9bA,gsv,2023-04-19T16:02:58.037Z,train,gsv-seattle-241889-CurbRamp.png,5674,4956,16384.0,8192.0,30.071428,-18.169643,2.0,90.082359,2.092354,,416,250
columbus-oh,14563,7OwcAo6HyAcPZSt8Q5k4Ww,gsv,2020-05-26T23:30:19.085Z,train,gsv-columbus-14563-CurbRamp.png,14929,5050,16384.0,8192.0,317.0625,-35.0,1.0,183.779251,-1.096909,,451,154
seattle-wa,159730,iNyiL4am40Rgb1dYnfvcQw,gsv,2021-06-29T16:49:50.362Z,test,gsv-seattle-159730-CurbRamp.png,15549,4769,16384.0,8192.0,149.546875,-20.743303,1.0,358.865173,0.714111,,428,204
oradell-nj,5388,ejgsnskbUOGYa-g3XMwqSA,gsv,2022-05-28T00:29:29.017Z,train,gsv-oradell-5388-CurbRamp.png,947,4289,16384.0,8192.0,201.765625,-4.046875,3.0,2.807149,-0.081238,,407,245
oradell-nj,7109,N5TDrl0L3_YOexCEjitUnw,gsv,2022-07-10T02:17:21.26Z,test,gsv-oradell-7109-CurbRamp.png,7145,4429,16384.0,8192.0,91.203125,-7.25,3.0,107.018486,2.725029,,177,243
seattle-wa,234307,TOPhMPlatQdkTX5n5ZW0hw,gsv,2023-02-22T01:18:42.789Z,test,gsv-seattle-234307-CurbRamp.png,15246,4845,16384.0,8192.0,239.426346,-14.354911,3.0,88.950325,-0.363716,,471,295
chicago-il,11087,pAqXqgWyXtDw3kCrmEqiwQ,gsv,2022-09-07T20:55:54.372Z,train,gsv-chicago-11087-CurbRamp.png,7028,4722,16384.0,8192.0,201.316971,-13.962053,3.0,226.302032,0.04143,,345,235
chicago-il,2043,j4yIcZ8790sOEBvX4eG8hg,gsv,2021-10-18T21:35:42.14Z,train,gsv-chicago-2043-CurbRamp.png,2390,4445,16384.0,8192.0,47.564732,-12.209822,3.0,178.127136,0.320389,,438,124
pittsburgh-pa,14505,-rPfxRsIp9NFeMyfCeFyPA,gsv,2022-02-01T23:55:27.161Z,train,gsv-pittsburgh-14505-CurbRamp.png,4980,4704,16384.0,8192.0,203.0,-34.8125,1.0,274.47757,2.981827,,366,98
pittsburgh-pa,7085,C62T6z7vZ1sdfUP1HcHilg,gsv,2021-01-17T18:05:56.355Z,train,gsv-pittsburgh-7085-CurbRamp.png,3470,3731,13312.0,6656.0,69.265625,-11.935267,3.0,158.65274,1.157188,,441,214
oradell-nj,6913,kFM7UUg5oX2hKNae547fbA,gsv,2022-06-28T17:19:05.481Z,test,gsv-oradell-6913-CurbRamp.png,15372,4914,16384.0,8192.0,252.125,-18.8125,1.0,85.275383,-0.070671,,305,236
seattle-wa,262901,mVmOer9uQlLpiFr7mvw2gg,gsv,2023-06-08T03:11:52.14Z,train,gsv-seattle-262901-CurbRamp.png,2120,3863,13312.0,6656.0,325.4375,-16.857143,2.0,90.390228,-0.5186,,388,210
cdmx,3568,Fa9ht3nv_i7AUJAW2j2Omw,gsv,2020-05-03T05:10:04.359Z,test,gsv-cdmx-3568-CurbRamp.png,13995,5423,16384.0,8192.0,109.13839,-35.0,1.0,340.369232,0.244812,,353,203
chicago-il,22457,Jr9DGZt8Cv9tdIw4aoT4Uw,gsv,2023-02-26T00:46:39.375Z,train,gsv-chicago-22457-CurbRamp.png,1228,4462,16384.0,8192.0,107.444199,-10.982142,3.0,258.929504,0.7757,,321,165
seattle-wa,67634,mtWXDZVtYJ6Jht2fOAYvKw,gsv,2019-05-09T15:45:04.875Z,train,gsv-seattle-67634-CurbRamp.png,5796,4757,16384.0,8192.0,168.0,-13.375,1.0,179.228088,2.036263,,57,276
newberg-or,10939,8HiTu3sB6JFLf_XbvlWCeA,gsv,2019-10-11T19:55:57.634Z,train,gsv-newberg-10939-CurbRamp.png,7176,3986,13312.0,6656.0,27.75,-35.0,1.0,34.452812,2.416138,,495,136
oradell-nj,7544,m6Y7nsktOj-JrF3fCYtH7w,gsv,2022-07-14T20:34:00.144Z,train,gsv-oradell-7544-CurbRamp.png,15013,4589,16384.0,8192.0,160.607147,-13.196428,2.0,24.226814,0.4347,,529,214
chicago-il,12731,GxEy1tn0TUPrXYuVHMZFSA,gsv,2022-10-21T12:35:40.219Z,train,gsv-chicago-12731-CurbRamp.png,13361,4761,16384.0,8192.0,209.734375,-18.28125,3.0,88.001717,-0.568214,,157,150
chicago-il,22654,xZhxBQ98eE8kWVSVNl05UQ,gsv,2023-03-03T14:55:44.626Z,train,gsv-chicago-22654-CurbRamp.png,9713,4761,16384.0,8192.0,41.25,-23.3125,1.0,358.040314,0.46499,,299,186
oradell-nj,7559,e1daJkcl1pIlYMgnR5Jjfg,gsv,2022-07-14T20:47:13.715Z,train,gsv-oradell-7559-CurbRamp.png,6666,4358,16384.0,8192.0,305.928558,-13.25,2.0,330.44104,0.195747,,245,146
newberg-or,14942,QhRXD-dgARgPJKE7QBmxIA,gsv,2019-10-22T01:27:13.215Z,train,gsv-newberg-14942-CurbRamp.png,7044,3926,13312.0,6656.0,93.328125,-15.40625,3.0,90.777542,0.243675,,556,263
amsterdam,379,FBCVzaNUI000-fDHf-qdvA,gsv,2022-02-28T23:50:48.084Z,train,gsv-amsterdam-379-CurbRamp.png,8032,4487,16384.0,8192.0,293.984375,-9.240625,2.0,293.892914,0.307175,,315,232
seattle-wa,259711,7yGyVazQrpOpBh3BspmIDw,gsv,2023-05-29T18:25:54.791Z,test,gsv-seattle-259711-CurbRamp.png,1793,4746,16384.0,8192.0,227.183029,-17.053572,3.0,0.784556,-1.32536,,186,172
seattle-wa,125764,v9r_qVUOiCTlTdNyc7juIQ,gsv,2021-01-27T23:22:01.948Z,test,gsv-seattle-125764-CurbRamp.png,6856,4671,16384.0,8192.0,17.5625,-23.5625,1.0,55.013638,-3.763458,,411,171
seattle-wa,53475,aS-_xtnU_Aq7B9qtE6ktkg,gsv,2019-05-04T07:19:28.038Z,train,gsv-seattle-53475-CurbRamp.png,8939,4649,16384.0,8192.0,213.910721,-21.9375,2.0,201.7332,-1.705696,,413,116
seattle-wa,27556,P0O7rq-kDAMZxxpo2rZPKw,gsv,2019-04-30T02:54:52.757Z,train,gsv-seattle-27556-CurbRamp.png,3824,3999,13312.0,6656.0,177.03125,-25.4375,1.0,249.154358,-6.515137,,333,194
cdmx,5311,WlBnHk9ULjbn_XntIiFcpA,gsv,2020-05-14T20:22:08.736Z,train,gsv-cdmx-5311-CurbRamp.png,2897,5108,16384.0,8192.0,3.3125,-12.5625,1.0,103.510002,1.286919,,262,307
chicago-il,20718,wu6sIdQq4IOvuSuypU_H7g,gsv,2023-01-30T16:35:52.348Z,test,gsv-chicago-20718-CurbRamp.png,1945,4627,16384.0,8192.0,226.25,-11.020089,3.0,0.025,-0.03058,,273,257
oradell-nj,7142,YlK3MFCpBqOFYoYA9jbspA,gsv,2022-07-10T02:59:00.113Z,train,gsv-oradell-7142-CurbRamp.png,2085,4512,16384.0,8192.0,315.3125,-2.0,2.0,109.538872,2.142014,,622,338
columbus-oh,1616,uCTuKoIYoEdIAhyUBsGxrg,gsv,2019-12-05T00:53:40.144Z,train,gsv-columbus-1616-CurbRamp.png,8596,3896,13312.0,6656.0,130.015625,-16.0625,3.0,81.337906,-0.326218,,453,223
spgg,51275,culI_Ac11EhES2NBtZPdkA,gsv,2021-02-09T16:02:11.221Z,test,gsv-spgg-51275-CurbRamp.png,6558,5284,16384.0,8192.0,113.41964,-26.25,1.0,158.784668,7.512413,,414,241
chicago-il,6318,hR6Zcp5_63nTrsx2kJ_kbA,gsv,2021-10-22T19:25:17.338Z,test,gsv-chicago-6318-CurbRamp.png,13199,4379,16384.0,8192.0,275.651794,-13.910714,2.0,179.823883,2.006851,,543,145
columbus-oh,787,HvpxE1P_qlHd_L1vYXhyxg,gsv,2019-12-03T23:52:07.602Z,train,gsv-columbus-787-CurbRamp.png,7013,3720,13312.0,6656.0,184.589279,-16.544643,2.0,171.496368,0.159721,,317,165
seattle-wa,247426,kmMgT-PNgAPl8IcAkd-hCg,gsv,2023-05-08T20:58:39.153Z,train,gsv-seattle-247426-CurbRamp.png,4291,4486,16384.0,8192.0,171.435272,-7.975446,3.0,268.160767,0.61249,,641,259
oradell-nj,13315,XpygTrza-ZKpNGJzxnHhqw,gsv,2023-05-09T15:28:12.877Z,train,gsv-oradell-13315-CurbRamp.png,9136,4559,16384.0,8192.0,196.3125,-13.3125,3.0,178.709,0.18938,,439,160
seattle-wa,211707,q0fq8sXs54LIeZA6Yk-xYg,gsv,2022-06-09T02:14:24.053Z,train,gsv-seattle-211707-CurbRamp.png,5494,4594,16384.0,8192.0,193.658478,-18.839285,2.0,260.338043,-1.829117,,453,141
chicago-il,1205,4Kipj-av8Mc6-H7jKKmnUQ,gsv,2021-09-27T16:39:24.835Z,train,gsv-chicago-1205-CurbRamp.png,6117,4704,16384.0,8192.0,331.8125,-20.9375,1.0,359.67511,-1.025269,,247,196
newberg-or,6011,-fL-a0RKW2AF-fRMD3ULPw,gsv,2019-09-01T17:08:12.497Z,train,gsv-newberg-6011-CurbRamp.png,12544,3797,13312.0,6656.0,229.089279,-16.265625,1.0,90.997498,3.219307,,496,223
spgg,50616,VeUDGer9TOCDZedeYho8nw,gsv,2021-02-09T00:55:31.497Z,train,gsv-spgg-50616-CurbRamp.png,2658,5358,16384.0,8192.0,186.4375,-31.25,1.0,323.000244,1.032082,,445,223
columbus-oh,13656,KPHVNm5GNpZdq4T8VmkrAQ,gsv,2020-05-20T13:44:53.367Z,train,gsv-columbus-13656-CurbRamp.png,12598,5644,16384.0,8192.0,358.5,-33.6875,1.0,262.454163,-1.8838,,357,242
chicago-il,4855,8jt4pTAvji9i58NJn10r0Q,gsv,2021-10-22T01:28:30.122Z,train,gsv-chicago-4855-CurbRamp.png,14168,4562,16384.0,8192.0,272.875,-35.0,1.0,101.454407,-0.342896,,41,96
seattle-wa,38286,vv7VxUudWZKrZ1qBQ5MYHw,gsv,2019-05-02T01:33:44.396Z,train,gsv-seattle-38286-CurbRamp.png,14930,4653,16384.0,8192.0,138.75,-9.5625,1.0,0.643973,-0.136665,,422,258
seattle-wa,71447,XCUydBdHL8XZDpQ12Omtiw,gsv,2019-05-29T21:10:26.13Z,train,gsv-seattle-71447-CurbRamp.png,13617,5395,16384.0,8192.0,278.875,-32.5,2.0,153.031342,0.373161,,286,192
