label_uid,split
seattle-wa:235678,test
seattle-wa:96447,test
seattle-wa:150702,test
seattle-wa:223499,test
seattle-wa:244274,test
seattle-wa:191108,test
seattle-wa:61703,test
seattle-wa:238612,test
seattle-wa:96707,test
seattle-wa:182891,test
seattle-wa:245996,test
seattle-wa:124281,test
seattle-wa:273428,test
seattle-wa:245781,test
seattle-wa:66970,test
seattle-wa:182103,test
seattle-wa:103682,test
seattle-wa:100631,test
seattle-wa:117189,test
seattle-wa:263276,test
seattle-wa:191052,test
seattle-wa:4246,test
seattle-wa:11110,test
seattle-wa:11661,test
seattle-wa:712,test
seattle-wa:33296,test
seattle-wa:14743,test
seattle-wa:191605,test
seattle-wa:244276,test
seattle-wa:259159,test
seattle-wa:14251,test
seattle-wa:72295,test
seattle-wa:13893,test
seattle-wa:207382,test
seattle-wa:43623,test
seattle-wa:234307,test
seattle-wa:17656,test
seattle-wa:262484,test
seattle-wa:237484,test
seattle-wa:227026,test
seattle-wa:190803,test
seattle-wa:263384,test
seattle-wa:178699,test
seattle-wa:232256,test
seattle-wa:100632,test
seattle-wa:190624,test
seattle-wa:47828,test
seattle-wa:175975,test
seattle-wa:235213,test
seattle-wa:238869,test
seattle-wa:182888,test
seattle-wa:4601,test
seattle-wa:160741,test
seattle-wa:74790,test
seattle-wa:112880,test
seattle-wa:195765,test
seattle-wa:95434,test
seattle-wa:219135,test
seattle-wa:148604,test
seattle-wa:207933,test
seattle-wa:72781,test
seattle-wa:262912,test
seattle-wa:2627,test
seattle-wa:104310,test
seattle-wa:162179,test
seattle-wa:150969,test
seattle-wa:200677,test
seattle-wa:72293,test
seattle-wa:95428,test
seattle-wa:193296,test
seattle-wa:209468,test
seattle-wa:236331,test
seattle-wa:192941,test
seattle-wa:1233,test
seattle-wa:191042,test
seattle-wa:193232,test
seattle-wa:30836,test
seattle-wa:18823,test
seattle-wa:125764,test
seattle-wa:29303,test
seattle-wa:170459,test
seattle-wa:104183,test
seattle-wa:219207,test
seattle-wa:116690,test
seattle-wa:26880,test
seattle-wa:270219,test
seattle-wa:4374,test
seattle-wa:17679,test
seattle-wa:41509,test
seattle-wa:83383,test
seattle-wa:106853,test
seattle-wa:244286,test
seattle-wa:3009,test
seattle-wa:178663,test
seattle-wa:1457,test
seattle-wa:81510,test
seattle-wa:263736,test
seattle-wa:234408,test
seattle-wa:83767,test
seattle-wa:115426,test
seattle-wa:273451,test
seattle-wa:132590,test
seattle-wa:179332,test
seattle-wa:238383,test
seattle-wa:84962,test
seattle-wa:165785,test
seattle-wa:265320,test
seattle-wa:202390,test
seattle-wa:262939,test
seattle-wa:120865,test
seattle-wa:227100,test
seattle-wa:241930,test
seattle-wa:52318,test
seattle-wa:237077,test
seattle-wa:205579,test
seattle-wa:145910,test
seattle-wa:260178,test
seattle-wa:132617,test
seattle-wa:240826,test
seattle-wa:191209,test
seattle-wa:273466,test
seattle-wa:193162,test
seattle-wa:17917,test
seattle-wa:191055,test
seattle-wa:2790,test
seattle-wa:99193,test
seattle-wa:186552,test
seattle-wa:162475,test
seattle-wa:127243,test
seattle-wa:58990,test
seattle-wa:104181,test
seattle-wa:236556,test
seattle-wa:8627,test
seattle-wa:263455,test
seattle-wa:104219,test
seattle-wa:13707,test
seattle-wa:72553,test
seattle-wa:35133,test
seattle-wa:207150,test
seattle-wa:120966,test
seattle-wa:171530,test
seattle-wa:99115,test
seattle-wa:226454,test
seattle-wa:238704,test
seattle-wa:133931,test
seattle-wa:75730,test
seattle-wa:123212,test
seattle-wa:161381,test
seattle-wa:263667,test
seattle-wa:265576,test
seattle-wa:98948,test
seattle-wa:44932,test
seattle-wa:16453,test
seattle-wa:30421,test
seattle-wa:193294,test
seattle-wa:97598,test
seattle-wa:109704,test
seattle-wa:67636,test
seattle-wa:158020,test
seattle-wa:98418,test
seattle-wa:151099,test
seattle-wa:136642,test
seattle-wa:153194,test
seattle-wa:163998,test
seattle-wa:99462,test
seattle-wa:270816,test
seattle-wa:104619,test
seattle-wa:95432,test
seattle-wa:259950,test
seattle-wa:28661,test
seattle-wa:161378,test
seattle-wa:179929,test
seattle-wa:42701,test
seattle-wa:2644,test
seattle-wa:38136,test
seattle-wa:143675,test
seattle-wa:241932,test
seattle-wa:52982,test
seattle-wa:39391,test
seattle-wa:98611,test
seattle-wa:157692,test
seattle-wa:74311,test
seattle-wa:255694,test
seattle-wa:251111,test
seattle-wa:123434,test
seattle-wa:183878,test
seattle-wa:245294,test
seattle-wa:161890,test
seattle-wa:1680,test
seattle-wa:239134,test
seattle-wa:98844,test
chicago-il:19358,test
chicago-il:7876,test
chicago-il:9408,test
chicago-il:11129,test
chicago-il:8119,test
chicago-il:9577,test
chicago-il:3039,test
chicago-il:9923,test
chicago-il:1565,test
chicago-il:11680,test
chicago-il:20506,test
chicago-il:16345,test
chicago-il:10998,test
chicago-il:18102,test
chicago-il:9899,test
chicago-il:2803,test
chicago-il:17146,test
chicago-il:12788,test
chicago-il:17442,test
chicago-il:2874,test
chicago-il:1245,test
chicago-il:10798,test
chicago-il:2531,test
chicago-il:10566,test
chicago-il:6019,test
chicago-il:19415,test
chicago-il:6318,test
chicago-il:1243,test
chicago-il:11123,test
chicago-il:43055,test
chicago-il:10614,test
chicago-il:743,test
chicago-il:106,test
chicago-il:28991,test
chicago-il:28882,test
chicago-il:10554,test
chicago-il:3324,test
chicago-il:2471,test
chicago-il:7858,test
chicago-il:17331,test
chicago-il:10684,test
chicago-il:3477,test
chicago-il:6147,test
chicago-il:8469,test
chicago-il:15245,test
chicago-il:8455,test
chicago-il:20718,test
chicago-il:9619,test
chicago-il:16446,test
chicago-il:19945,test
chicago-il:3163,test
chicago-il:10690,test
chicago-il:11675,test
chicago-il:6321,test
chicago-il:6156,test
chicago-il:7848,test
chicago-il:1459,test
chicago-il:11076,test
chicago-il:15643,test
chicago-il:43071,test
chicago-il:22161,test
chicago-il:9327,test
chicago-il:9383,test
chicago-il:15700,test
chicago-il:2291,test
chicago-il:43062,test
chicago-il:927,test
chicago-il:135,test
chicago-il:3153,test
chicago-il:523,test
chicago-il:2200,test
chicago-il:480,test
chicago-il:937,test
chicago-il:1909,test
chicago-il:5588,test
chicago-il:11026,test
chicago-il:8150,test
chicago-il:550,test
chicago-il:1878,test
chicago-il:10393,test
chicago-il:10109,test
chicago-il:10766,test
chicago-il:7432,test
chicago-il:2164,test
chicago-il:10598,test
chicago-il:10722,test
chicago-il:851,test
chicago-il:1303,test
chicago-il:2219,test
chicago-il:5234,test
chicago-il:6649,test
chicago-il:12596,test
chicago-il:1200,test
chicago-il:2813,test
chicago-il:411,test
chicago-il:17645,test
chicago-il:7149,test
chicago-il:4706,test
chicago-il:3315,test
chicago-il:2117,test
chicago-il:7441,test
chicago-il:17988,test
chicago-il:3524,test
chicago-il:10116,test
chicago-il:21043,test
chicago-il:17627,test
chicago-il:43034,test
chicago-il:15998,test
chicago-il:4815,test
chicago-il:19073,test
chicago-il:15026,test
chicago-il:10625,test
chicago-il:2412,test
chicago-il:3054,test
chicago-il:13322,test
chicago-il:28144,test
chicago-il:7259,test
chicago-il:7194,test
chicago-il:10499,test
chicago-il:15258,test
chicago-il:13624,test
chicago-il:2616,test
chicago-il:22578,test
chicago-il:28897,test
chicago-il:4360,test
chicago-il:22455,test
chicago-il:10999,test
chicago-il:2153,test
chicago-il:22555,test
chicago-il:8450,test
chicago-il:20482,test
chicago-il:11095,test
chicago-il:8378,test
chicago-il:16910,test
chicago-il:10488,test
chicago-il:3068,test
chicago-il:10725,test
chicago-il:7839,test
chicago-il:7958,test
chicago-il:9239,test
chicago-il:17659,test
chicago-il:9114,test
chicago-il:10546,test
chicago-il:5294,test
chicago-il:841,test
chicago-il:17964,test
chicago-il:12781,test
chicago-il:7540,test
chicago-il:415,test
chicago-il:10697,test
chicago-il:8154,test
chicago-il:11224,test
chicago-il:1815,test
chicago-il:4772,test
chicago-il:1568,test
chicago-il:779,test
chicago-il:2672,test
chicago-il:7288,test
chicago-il:10914,test
chicago-il:336,test
chicago-il:5021,test
chicago-il:963,test
chicago-il:46771,test
chicago-il:2755,test
chicago-il:1282,test
chicago-il:6750,test
chicago-il:11239,test
chicago-il:4982,test
chicago-il:22116,test
chicago-il:8160,test
chicago-il:22544,test
chicago-il:18139,test
chicago-il:21762,test
chicago-il:8222,test
chicago-il:9895,test
chicago-il:19795,test
chicago-il:15291,test
chicago-il:11124,test
chicago-il:10485,test
chicago-il:4521,test
chicago-il:749,test
chicago-il:10493,test
chicago-il:11676,test
chicago-il:869,test
chicago-il:28,test
chicago-il:10925,test
chicago-il:17269,test
chicago-il:3302,test
chicago-il:4801,test
chicago-il:11328,test
chicago-il:10994,test
chicago-il:1511,test
chicago-il:7526,test
chicago-il:7801,test
chicago-il:9881,test
chicago-il:9260,test
chicago-il:1563,test
chicago-il:843,test
chicago-il:22577,test
chicago-il:10570,test
chicago-il:1446,test
chicago-il:12721,test
chicago-il:13626,test
chicago-il:11654,test
chicago-il:1381,test
chicago-il:15585,test
chicago-il:9913,test
chicago-il:8098,test
chicago-il:10505,test
chicago-il:6716,test
chicago-il:8293,test
chicago-il:1510,test
chicago-il:18162,test
chicago-il:9202,test
chicago-il:7651,test
chicago-il:8806,test
chicago-il:12687,test
chicago-il:503,test
chicago-il:9661,test
chicago-il:9015,test
chicago-il:1434,test
chicago-il:6387,test
chicago-il:6020,test
chicago-il:11000,test
chicago-il:19229,test
chicago-il:5441,test
chicago-il:15191,test
chicago-il:159,test
chicago-il:4877,test
oradell-nj:8740,test
oradell-nj:534,test
oradell-nj:13506,test
oradell-nj:3521,test
oradell-nj:3049,test
oradell-nj:13319,test
oradell-nj:7108,test
oradell-nj:10411,test
oradell-nj:13748,test
oradell-nj:6837,test
oradell-nj:10040,test
oradell-nj:7485,test
oradell-nj:10951,test
oradell-nj:6908,test
oradell-nj:9946,test
oradell-nj:694,test
oradell-nj:4656,test
oradell-nj:12676,test
oradell-nj:6579,test
oradell-nj:5251,test
oradell-nj:11533,test
oradell-nj:6574,test
oradell-nj:7659,test
oradell-nj:11202,test
oradell-nj:2474,test
oradell-nj:11622,test
oradell-nj:1029,test
oradell-nj:9269,test
oradell-nj:4570,test
oradell-nj:2307,test
oradell-nj:2523,test
oradell-nj:12647,test
oradell-nj:7607,test
oradell-nj:2242,test
oradell-nj:7924,test
oradell-nj:2620,test
oradell-nj:7137,test
oradell-nj:13135,test
oradell-nj:11997,test
oradell-nj:4650,test
oradell-nj:240,test
oradell-nj:7593,test
oradell-nj:6512,test
oradell-nj:7045,test
oradell-nj:7753,test
oradell-nj:7476,test
oradell-nj:7923,test
oradell-nj:9809,test
oradell-nj:9237,test
oradell-nj:7799,test
oradell-nj:6847,test
oradell-nj:1428,test
oradell-nj:1265,test
oradell-nj:10944,test
oradell-nj:533,test
oradell-nj:7584,test
oradell-nj:5274,test
oradell-nj:2744,test
oradell-nj:1097,test
oradell-nj:293,test
oradell-nj:6913,test
oradell-nj:13532,test
oradell-nj:1070,test
oradell-nj:13136,test
oradell-nj:7540,test
oradell-nj:980,test
oradell-nj:9153,test
oradell-nj:2625,test
oradell-nj:1774,test
oradell-nj:13316,test
oradell-nj:6710,test
oradell-nj:9243,test
oradell-nj:9781,test
oradell-nj:11619,test
oradell-nj:7104,test
oradell-nj:1035,test
oradell-nj:7526,test
oradell-nj:3724,test
oradell-nj:6092,test
oradell-nj:11664,test
oradell-nj:13095,test
oradell-nj:6418,test
oradell-nj:4536,test
oradell-nj:4540,test
oradell-nj:535,test
oradell-nj:6237,test
oradell-nj:291,test
oradell-nj:7596,test
oradell-nj:5634,test
oradell-nj:7083,test
oradell-nj:9871,test
oradell-nj:11203,test
oradell-nj:7389,test
oradell-nj:3071,test
oradell-nj:6708,test
oradell-nj:7962,test
oradell-nj:11489,test
oradell-nj:690,test
oradell-nj:10862,test
oradell-nj:7357,test
oradell-nj:4409,test
oradell-nj:7387,test
oradell-nj:12016,test
oradell-nj:10953,test
oradell-nj:4556,test
oradell-nj:6319,test
oradell-nj:13801,test
oradell-nj:5260,test
oradell-nj:9360,test
oradell-nj:5259,test
oradell-nj:13416,test
oradell-nj:8607,test
oradell-nj:673,test
oradell-nj:7328,test
oradell-nj:4648,test
oradell-nj:6204,test
walla-walla:124,test
walla-walla:480,test
walla-walla:1229,test
walla-walla:17,test
walla-walla:286,test
walla-walla:22,test
walla-walla:284,test
walla-walla:1224,test
walla-walla:1194,test
walla-walla:1180,test
walla-walla:343,test
walla-walla:196,test
walla-walla:456,test
walla-walla:125,test
amsterdam:8313,test
amsterdam:94,test
amsterdam:866,test
amsterdam:954,test
amsterdam:188,test
amsterdam:29477,test
amsterdam:651,test
amsterdam:310,test
amsterdam:29785,test
amsterdam:308,test
amsterdam:18384,test
amsterdam:1186,test
amsterdam:1126,test
amsterdam:3788,test
amsterdam:29616,test
amsterdam:416,test
amsterdam:229,test
amsterdam:8323,test
newberg-or:2481,test
newberg-or:16233,test
newberg-or:5724,test
newberg-or:10739,test
newberg-or:8064,test
newberg-or:17344,test
newberg-or:5564,test
newberg-or:10231,test
newberg-or:6014,test
newberg-or:749,test
newberg-or:11739,test
newberg-or:5574,test
newberg-or:7467,test
newberg-or:9868,test
newberg-or:7684,test
newberg-or:7480,test
newberg-or:5606,test
newberg-or:3677,test
newberg-or:15101,test
newberg-or:5473,test
newberg-or:3880,test
newberg-or:1274,test
newberg-or:5435,test
newberg-or:6296,test
newberg-or:119,test
newberg-or:2091,test
newberg-or:1289,test
newberg-or:10502,test
newberg-or:9244,test
newberg-or:3604,test
newberg-or:2104,test
newberg-or:15028,test
newberg-or:6199,test
newberg-or:1903,test
newberg-or:6712,test
newberg-or:212,test
newberg-or:5821,test
newberg-or:15860,test
newberg-or:829,test
newberg-or:14051,test
newberg-or:3674,test
newberg-or:201,test
newberg-or:6176,test
newberg-or:5279,test
newberg-or:569,test
newberg-or:6596,test
newberg-or:6010,test
newberg-or:6711,test
newberg-or:9211,test
newberg-or:9552,test
newberg-or:7567,test
newberg-or:6653,test
newberg-or:5568,test
newberg-or:17505,test
newberg-or:15056,test
newberg-or:11733,test
newberg-or:4822,test
newberg-or:6175,test
newberg-or:4038,test
newberg-or:22,test
newberg-or:11804,test
newberg-or:8066,test
newberg-or:2346,test
newberg-or:5575,test
newberg-or:891,test
newberg-or:17169,test
newberg-or:11199,test
newberg-or:15861,test
newberg-or:6030,test
newberg-or:9498,test
newberg-or:7488,test
newberg-or:2122,test
newberg-or:17709,test
newberg-or:16220,test
newberg-or:5546,test
newberg-or:765,test
newberg-or:9401,test
newberg-or:12834,test
newberg-or:5718,test
newberg-or:10597,test
newberg-or:6024,test
newberg-or:3149,test
newberg-or:5098,test
newberg-or:134,test
newberg-or:15763,test
newberg-or:524,test
newberg-or:3481,test
newberg-or:3482,test
newberg-or:4888,test
newberg-or:5137,test
newberg-or:227,test
newberg-or:6177,test
newberg-or:9269,test
newberg-or:504,test
newberg-or:5706,test
newberg-or:9692,test
newberg-or:9506,test
newberg-or:11906,test
newberg-or:5932,test
newberg-or:2534,test
newberg-or:5542,test
newberg-or:6738,test
newberg-or:12445,test
newberg-or:5573,test
newberg-or:11440,test
newberg-or:5927,test
newberg-or:3412,test
newberg-or:5931,test
newberg-or:14064,test
newberg-or:11741,test
newberg-or:3536,test
newberg-or:5158,test
newberg-or:17394,test
newberg-or:4000,test
newberg-or:8001,test
newberg-or:3941,test
newberg-or:16243,test
newberg-or:7238,test
newberg-or:5555,test
newberg-or:590,test
newberg-or:972,test
newberg-or:3638,test
newberg-or:5121,test
columbus-oh:16017,test
columbus-oh:33361,test
columbus-oh:33119,test
columbus-oh:13358,test
columbus-oh:6361,test
columbus-oh:22957,test
columbus-oh:33581,test
columbus-oh:15750,test
columbus-oh:19405,test
columbus-oh:1843,test
columbus-oh:32821,test
columbus-oh:38260,test
columbus-oh:32809,test
columbus-oh:15706,test
columbus-oh:26594,test
columbus-oh:31131,test
columbus-oh:32819,test
columbus-oh:11116,test
columbus-oh:30221,test
columbus-oh:16259,test
columbus-oh:24772,test
columbus-oh:10460,test
columbus-oh:26891,test
columbus-oh:29366,test
columbus-oh:12798,test
columbus-oh:25183,test
columbus-oh:29183,test
columbus-oh:9093,test
columbus-oh:29593,test
columbus-oh:29330,test
columbus-oh:25435,test
columbus-oh:5444,test
columbus-oh:21540,test
columbus-oh:14774,test
columbus-oh:31713,test
columbus-oh:24150,test
columbus-oh:22482,test
columbus-oh:13610,test
columbus-oh:24049,test
columbus-oh:27272,test
columbus-oh:134,test
columbus-oh:17355,test
columbus-oh:13631,test
columbus-oh:10788,test
columbus-oh:38902,test
columbus-oh:7408,test
columbus-oh:21465,test
columbus-oh:17427,test
columbus-oh:14677,test
columbus-oh:27224,test
columbus-oh:1708,test
columbus-oh:27429,test
columbus-oh:17443,test
columbus-oh:26641,test
columbus-oh:33635,test
columbus-oh:15398,test
columbus-oh:33029,test
columbus-oh:30764,test
columbus-oh:6803,test
columbus-oh:14380,test
columbus-oh:33839,test
columbus-oh:17248,test
columbus-oh:27072,test
columbus-oh:23820,test
columbus-oh:26341,test
columbus-oh:27334,test
columbus-oh:33120,test
columbus-oh:31662,test
columbus-oh:32817,test
columbus-oh:26880,test
columbus-oh:27427,test
columbus-oh:31291,test
columbus-oh:822,test
columbus-oh:294,test
columbus-oh:27366,test
columbus-oh:24912,test
columbus-oh:16436,test
columbus-oh:14757,test
columbus-oh:1270,test
columbus-oh:22916,test
columbus-oh:27064,test
columbus-oh:22643,test
columbus-oh:17575,test
columbus-oh:13316,test
columbus-oh:30247,test
columbus-oh:1819,test
columbus-oh:25313,test
columbus-oh:31021,test
columbus-oh:15824,test
columbus-oh:120,test
columbus-oh:35282,test
columbus-oh:1543,test
columbus-oh:26977,test
columbus-oh:820,test
columbus-oh:6654,test
columbus-oh:29365,test
columbus-oh:17452,test
columbus-oh:16565,test
columbus-oh:15695,test
columbus-oh:24397,test
columbus-oh:7457,test
columbus-oh:29497,test
columbus-oh:8065,test
columbus-oh:13629,test
columbus-oh:26590,test
columbus-oh:11027,test
columbus-oh:32820,test
columbus-oh:26949,test
columbus-oh:701,test
columbus-oh:20078,test
columbus-oh:23182,test
columbus-oh:13960,test
columbus-oh:15111,test
columbus-oh:23767,test
columbus-oh:21028,test
columbus-oh:21067,test
columbus-oh:22960,test
columbus-oh:23513,test
columbus-oh:33357,test
columbus-oh:33623,test
columbus-oh:18069,test
columbus-oh:27073,test
columbus-oh:31708,test
columbus-oh:23143,test
columbus-oh:26580,test
columbus-oh:8685,test
columbus-oh:32814,test
columbus-oh:13405,test
columbus-oh:26844,test
columbus-oh:1856,test
columbus-oh:6240,test
columbus-oh:24393,test
columbus-oh:27434,test
columbus-oh:13543,test
columbus-oh:25011,test
columbus-oh:1248,test
columbus-oh:26833,test
columbus-oh:20700,test
columbus-oh:26841,test
columbus-oh:14420,test
columbus-oh:1284,test
columbus-oh:21306,test
columbus-oh:744,test
columbus-oh:23593,test
columbus-oh:16334,test
columbus-oh:4063,test
columbus-oh:22527,test
columbus-oh:7325,test
columbus-oh:22502,test
columbus-oh:15711,test
columbus-oh:28063,test
columbus-oh:37106,test
columbus-oh:24601,test
columbus-oh:26817,test
columbus-oh:32845,test
columbus-oh:21477,test
columbus-oh:23342,test
cdmx:1859,test
cdmx:29765,test
cdmx:6971,test
cdmx:6090,test
cdmx:5430,test
cdmx:7539,test
cdmx:1778,test
cdmx:6973,test
cdmx:1971,test
cdmx:7146,test
cdmx:7501,test
cdmx:33198,test
cdmx:5472,test
cdmx:1539,test
cdmx:4277,test
cdmx:6697,test
cdmx:7322,test
cdmx:3843,test
cdmx:3568,test
cdmx:5234,test
cdmx:4680,test
cdmx:1634,test
cdmx:1635,test
cdmx:33170,test
cdmx:4282,test
cdmx:5396,test
cdmx:7281,test
cdmx:5463,test
cdmx:7173,test
cdmx:7039,test
cdmx:7585,test
cdmx:3533,test
cdmx:5457,test
cdmx:5233,test
cdmx:4050,test
cdmx:7794,test
cdmx:2929,test
cdmx:6132,test
cdmx:7279,test
cdmx:7211,test
cdmx:307,test
cdmx:2357,test
cdmx:4009,test
cdmx:2682,test
cdmx:7513,test
cdmx:5892,test
cdmx:7019,test
cdmx:7396,test
cdmx:2354,test
cdmx:5443,test
cdmx:1209,test
cdmx:6317,test
cdmx:4409,test
spgg:87098,test
spgg:8,test
spgg:5602,test
spgg:77275,test
spgg:76308,test
spgg:83666,test
spgg:27682,test
spgg:55241,test
spgg:8682,test
spgg:3641,test
spgg:20145,test
spgg:6320,test
spgg:62876,test
spgg:42225,test
spgg:51279,test
spgg:85627,test
spgg:23134,test
spgg:76442,test
spgg:53907,test
spgg:18852,test
spgg:6275,test
spgg:13708,test
spgg:3283,test
spgg:63025,test
spgg:90437,test
spgg:36051,test
spgg:90517,test
spgg:15080,test
spgg:4047,test
spgg:58208,test
spgg:76124,test
spgg:19013,test
spgg:86985,test
spgg:18474,test
spgg:19009,test
spgg:56557,test
spgg:51275,test
spgg:54483,test
spgg:47224,test
spgg:11017,test
spgg:68708,test
spgg:4203,test
spgg:51820,test
spgg:61335,test
spgg:40454,test
spgg:23146,test
spgg:16146,test
spgg:35340,test
pittsburgh-pa:1741,test
pittsburgh-pa:5506,test
pittsburgh-pa:13000,test
pittsburgh-pa:15113,test
pittsburgh-pa:15457,test
pittsburgh-pa:8580,test
pittsburgh-pa:15046,test
pittsburgh-pa:16497,test
pittsburgh-pa:16255,test
pittsburgh-pa:5831,test
pittsburgh-pa:10291,test
pittsburgh-pa:15482,test
pittsburgh-pa:15299,test
pittsburgh-pa:15136,test
pittsburgh-pa:14902,test
pittsburgh-pa:11979,test
pittsburgh-pa:2543,test
pittsburgh-pa:15230,test
pittsburgh-pa:15257,test
pittsburgh-pa:5314,test
pittsburgh-pa:9011,test
pittsburgh-pa:16480,test
pittsburgh-pa:14275,test
pittsburgh-pa:15872,test
pittsburgh-pa:8175,test
pittsburgh-pa:9715,test
pittsburgh-pa:15154,test
pittsburgh-pa:9042,test
pittsburgh-pa:14141,test
pittsburgh-pa:10558,test
pittsburgh-pa:11585,test
pittsburgh-pa:15317,test
pittsburgh-pa:1014,test
pittsburgh-pa:10762,test
pittsburgh-pa:11720,test
pittsburgh-pa:10683,test
pittsburgh-pa:11053,test
pittsburgh-pa:10737,test
pittsburgh-pa:16258,test
pittsburgh-pa:3943,test
pittsburgh-pa:1458,test
pittsburgh-pa:13280,test
pittsburgh-pa:5434,test
pittsburgh-pa:12806,test
pittsburgh-pa:4545,test
pittsburgh-pa:12003,test
pittsburgh-pa:15952,test
pittsburgh-pa:12907,test
pittsburgh-pa:10316,test
pittsburgh-pa:8093,test
pittsburgh-pa:3820,test
pittsburgh-pa:15866,test
pittsburgh-pa:2419,test
pittsburgh-pa:15998,test
pittsburgh-pa:14528,test
pittsburgh-pa:15848,test
pittsburgh-pa:3819,test
pittsburgh-pa:6051,test
pittsburgh-pa:16043,test
pittsburgh-pa:15288,test
pittsburgh-pa:15075,test
pittsburgh-pa:5757,test
pittsburgh-pa:14504,test
pittsburgh-pa:11986,test
pittsburgh-pa:9544,test
pittsburgh-pa:9220,test
pittsburgh-pa:13628,test
pittsburgh-pa:5029,test
pittsburgh-pa:15315,test
pittsburgh-pa:3936,test
pittsburgh-pa:159,test
pittsburgh-pa:14919,test
pittsburgh-pa:7973,test
pittsburgh-pa:13134,test
pittsburgh-pa:14122,test
pittsburgh-pa:12953,test
seattle-wa:264204,test
seattle-wa:154648,test
seattle-wa:193104,test
seattle-wa:75560,test
seattle-wa:136899,test
seattle-wa:127450,test
seattle-wa:154224,test
seattle-wa:131782,test
seattle-wa:137809,test
seattle-wa:157995,test
seattle-wa:263663,test
seattle-wa:244285,test
seattle-wa:193885,test
seattle-wa:191032,test
seattle-wa:133930,test
seattle-wa:208212,test
seattle-wa:206582,test
